Market,Address,City,County,ZIP,Contact,Phone,Phone check,Website,Website check,Resolved address,Season,Hours,SNAP,FMNP,Duplicate of,Source,Accessed
Jamestown Mobile Market-Silver Tree Seniors,9 Crane Street,Jamestown,Chautauqua,14701,Nick Weith,(716) 483-6405,Valid 10-digit number,http://jtownpublicmarket.org,OK (redirects),https://www.jfmny.org/,Year-round,Wed 1:30pm-2:30pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Jamestown Mobile Market-Silvertree Seniors (Carlson),842 North Main Street,Jamestown,Chautauqua,14701,Nick Weith,(716) 483-6405,Valid 10-digit number,,No website listed,,Year-round,Fri 12:30pm-1:30pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Jamestown Mobile Market-The Resource Center,880 East 2nd Street,Jamestown,Chautauqua,14701,Nick Weith,(716) 483-6405,Valid 10-digit number,,No website listed,,Year-round,Thu 11am-12pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Jamestown Winter Farmers' Market,410 N. Main St.,Jamestown,Chautauqua,14802,Nick Weith,(716) 483-6405,Valid 10-digit number,http://jfmny.org,OK (redirects),https://www.jfmny.org/,January 10-May 23,2nd & 4th Sat 9am-1pm,Yes,No,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Abers Acres Farm Stand,884 Rte. 394,Kennedy,Chautauqua,14747,Sue Abers,(716) 267-2431,Valid 10-digit number,http://www.abersacres.com,OK (redirects),https://abersacres.com/,June 1-October 31,"Mon-Sat 9am-6pm, Sun 10am-5pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Green Heron Growers Farm Stand,2361 Wait Corners Road,Panama,Chautauqua,14767,Julie Rockcastle,(716) 753-0371,Valid 10-digit number,,No website listed,,May 9-October 24,Sat 9am-1pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Scott's Farm & Greenhouse Farm Stand,6029 Route 60,Sinclairville,Chautauqua,14782,Kurt Scott,(716) 640-4447,Valid 10-digit number,,No website listed,,April 1-October 31,Daily 9am-6pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Westfield Farmers' and Artisans Market,Rt 20 and Rt 394,Westfield,Chautauqua,14787,Kathleen Mayer,(716) 753-0367,Valid 10-digit number,http://www.westfieldny.com/farmers-market,OK (redirects),http://www.westfieldny.com/farmers-artisans-market/westfield-farmers-artisans-market,May 23-September 26,Sat 9am-2pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
West Shore Farmers' Market,11 Church St,Akron,Erie,14001,Julie Kowalski,(716) 424-5829,Valid 10-digit number,,No website listed,,June 4-September 10,Thu 5pm-8pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Chiavetta's Farm Stand,9784 South Main St,Angola,Erie,14006,Michael Chiavetta,(716) 549-0458,Valid 10-digit number,,No website listed,,August 1-October 31,"Mon-Fri 9am-6pm, Sat/Sun 9am-5pm",Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Urbanowicz Acres Farm Stand,1417 Eden Evans Ctr Rd,Angola,Erie,14006,Elaine Urbanowicz,(716) 984-3453,Valid 10-digit number,http://www.urbanowiczacres.com,OK (redirects),https://urbanowiczacres.com/,Year-round,Daily 11am-5pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Meyer's Homegrown Farm Stand,9800 Zimmerman Road,Boston,Erie,14025,Tracy Meyer,(716) 574-5594,Valid 10-digit number,,No website listed,,July 15-October 31,Daily 8am-5pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Farm This Way Farm Stand,11086 Brant Reservation Road,Brant,Erie,14027,Carolyn Rosiek,(716) 549-1038,Valid 10-digit number,,No website listed,,May 1-October 31,"Mon-Fri 9am-5pm, Sat/Sun 12pm-5pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
5 Loaves Farm Stand-Delavan Ave,70 West Delevan Ave,Buffalo,Erie,14213,Matt Kauffman,(716) 803-2491,Valid 10-digit number,http://5loavesfarm.org,OK (redirects),https://5loavesfarm.org/,June 18-October 1,Thu 4pm-6:30pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Clinton Bailey Fri Farmers' Market,Bailey Ave and Clinton St,Buffalo,Erie,14206,Sharon Baldi,(716) 208-0003,Valid 10-digit number,http://www.clintonbaileymarket.com,OK (redirects),https://clintonbaileymarket.com/,Year-round,Fri 8am-5pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Clinton Bailey Mon Farmers' Market,Bailey Ave and Clinton St,Buffalo,Erie,14206,Sharon Baldi,(716) 208-0003,Valid 10-digit number,http://www.clintonbaileymarket.com,OK (redirects),https://clintonbaileymarket.com/,Year-round,Mon 8am-5pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Clinton Bailey Sat Farmers' Market,Bailey Ave and Clinton St,Buffalo,Erie,14206,Sharon Baldi,(716) 208-0003,Valid 10-digit number,http://www.clintonbaileymarket.com,OK (redirects),https://clintonbaileymarket.com/,Year-round,Sat 4am-5pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Clinton Bailey Sun Farmers' Market,Bailey Ave and Clinton St,Buffalo,Erie,14206,Sharon Baldi,(716) 208-0003,Valid 10-digit number,http://www.clintonbaileymarket.com,OK (redirects),https://clintonbaileymarket.com/,Year-round,Sun 8am-5pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Clinton Bailey Thu Farmers' Market,Bailey Ave and Clinton St,Buffalo,Erie,14206,Sharon Baldi,(716) 208-0003,Valid 10-digit number,http://www.clintonbaileymarket.com,OK (redirects),https://clintonbaileymarket.com/,Year-round,Thu 4am-5pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Clinton Bailey Tue Farmers' Market,Bailey Ave and Clinton St,Buffalo,Erie,14206,Sharon Baldi,(716) 208-0003,Valid 10-digit number,http://www.clintonbaileymarket.com,OK (redirects),https://clintonbaileymarket.com/,Year-round,Tue 4am-5pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Clinton Bailey Wed Farmers' Market,Bailey Ave and Clinton St,Buffalo,Erie,14206,Sharon Baldi,(716) 208-0003,Valid 10-digit number,http://www.clintonbaileymarket.com,OK (redirects),https://clintonbaileymarket.com/,Year-round,Wed 8am-5pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Downtown Country Thu Farmers' Market,20 fountain plaza,Buffalo,Erie,14203,Jackie Jonmaire,(716) 856-3150,Valid 10-digit number,https://buffaloplace.com/play/our-events/#countrymarket,OK (redirects),https://www.buffaloplace.com/play/our-events/#countrymarket,June 4-October 15,Thu 10am-2pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Elmwood Village Farmers' Market,Elmwood Ave and Bidwell Pkwy,Buffalo,Erie,14222,Karen Vilonen,(716) 691-5388,Valid 10-digit number,http://www.elmwoodmarket.org,OK (redirects),https://www.elmwoodmarket.org/,May 9-November 28,Sat 8am-1pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Groundwork Market Garden Farm Stand,1698 Genesee St.,Buffalo,Erie,14211,Mayda Pozantides,(716) 710-9394,Valid 10-digit number,http://www.groundworkmg.com,OK (redirects),https://www.groundworkmg.com/,June 9-October 27,Tue 4pm-7pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Kandolo Farm Stand,390 Peckham Street,Buffalo,Erie,14211,Kandolo Makongo,(716) 717-4218,Valid 10-digit number,,No website listed,,May 31-December 27,Sun 9am-12pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Kenmore Farmers' Market,2919 Delaware Ave,Buffalo,Erie,14217,Lauren Willett-Benson,(716) 873-5700,Valid 10-digit number,,No website listed,,June 21-October 25,Sun 9am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
MAP Mobile Market-Broadway Pediatrics,1021 Broadway,Buffalo,Erie,14212,Gabriel Montone,(716) 882-5327,Valid 10-digit number,http://www.mass-ave.org/shop,OK (redirects),https://www.mass-ave.org/shop,June 5-October 30,Fri 10am-12pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
MAP Mobile Market-Buffalo Adult Education,389 Virginia St.,Buffalo,Erie,14201,Gabriel Montone,(716) 882-5327,Valid 10-digit number,http://www.mass-ave.org/shop,OK (redirects),https://www.mass-ave.org/shop,June 4-October 29,Thu 10am-12pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
MAP Mobile Market-Elim Fellowship,70 Chalmers Avenue,Buffalo,Erie,14214,Gabriel Montone,(716) 882-5327,Valid 10-digit number,http://www.mass-ave.org,OK (redirects),https://www.mass-ave.org/,June 3-October 28,Wed 4:30pm-6:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
MAP Mobile Market-Jericho Road Barton,184 Barton Street,Buffalo,Erie,14213,Gabriel Montone,(716) 882-5327,Valid 10-digit number,http://www.mass-ave.org,OK (redirects),https://www.mass-ave.org/,June 2-October 27,Tue 11am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
MAP Mobile Market-MAP Farm Stand,389 Massachusetts Ave.,Buffalo,Erie,14213,Gabriel Montone,(716) 882-5327,Valid 10-digit number,http://www.mass-ave.org,OK (redirects),https://www.mass-ave.org/,June 4-October 29,Thu 3pm-6pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
MAP Mobile Market-Muslim Society,1955 Genesee St.,Buffalo,Erie,14211,Gabriel Montone,(716) 882-5327,Valid 10-digit number,http://www.mass-ave.org/shop,OK (redirects),https://www.mass-ave.org/shop,June 5-October 30,Fri 1pm-3pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
MAP Mobile Market-Neighboorhood Health Center NW,155 Lawn Ave,Buffalo,Erie,14207,Gabriel Montone,(716) 882-5327,Valid 10-digit number,http://www.mass-ave.org,OK (redirects),https://www.mass-ave.org/,June 3-October 28,Wed 11am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Mrs. Nash's Farmers' Market,36 Nash Street,Buffalo,Erie,14203,Paulette Harris,(716) 322-1002,Valid 10-digit number,https://www.michiganstreetbuffalo.org/,OK,,June 2-October 13,Tue 3:30pm-6:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Providence Farm Collective Farmers' Market,130 Grant Street,Buffalo,Erie,14218,Loc Tran,(716) 473-9338,Valid 10-digit number,http://providencefarmcollective.org/farmersmarket/,OK (redirects),https://providencefarmcollective.org/farmersmarket/,June 27-October 24,Sat 10am-3pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Clarence Hollow Farmers' Market,10717 Main St,Clarence,Erie,14031,Cheryl Anthony,(716) 759-1075,Valid 10-digit number,http://www.clarencefarmersmarket.com,OK,,June 6-October 31,Sat 8am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Huntington Farm Stand II,11503 Main Street,Clarence,Erie,14031,Dan Huntington,(716) 393-0590,Valid 10-digit number,,No website listed,,June 14-October 11,Sun 10am-7pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Kwilos Farm Farm Stand,7678 Erie Rd.,Derby,Erie,14074,Joseph Kwilos,(716) 549-6201,Valid 10-digit number,,No website listed,,May 7-October 31,"Mon-Sat 10am-6pm, Sun 10am-4pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
East Aurora Saturday Farmers' Market,115 Riley St,East Aurora,Erie,14052,Grace Miller,(585) 689-3716,Valid 10-digit number,http://www.eastaurorafarmersmarket.com,OK (redirects),https://eastaurorafarmersmarket.com/,May 2-November 25,Sat 7am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
East Aurora Wednesday Farmers' Market,115 riley street,East Aurora,Erie,14052,Grace Miller,(585) 689-3716,Valid 10-digit number,http://www.eastaurorafarmersmarket.com,OK (redirects),https://eastaurorafarmersmarket.com/,May 6-November 25,Wed 7am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Hamburg Farmers' Market,45 Church St.,Hamburg,Erie,14075,Matt Heidt,(716) 649-7917,Valid 10-digit number,https://southtownsregionalchamber.org/hamburg-farmers-market/,OK,,May 2-October 31,Sat 7:30am-1pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Holland Farmers' Market,7238 Olean Road,Holland,Erie,14139,Marg Wnek,(716) 537-9590,Valid 10-digit number,http://www.thehollandmkt.com,Unreachable (connection failed),,May 3-October 25,Sun 8:30am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Bowman Farms Farm Stand,11259 Gowanda State Rd.,North Collins,Erie,14111,Susan Bowman,(716) 337-2965,Valid 10-digit number,http://www.bowmanfarmsinc.com,OK,,June 10-October 12,Daily 9am-5pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Dirt Rich Farm Stand,12318 Springville Boston Road,Springville,Erie,14141,Laura Colligan,(716) 866-0234,Valid 10-digit number,http://dirtrichcsa.com,OK (redirects),http://www.dirtrichcsa.com/,June 5-October 30,Fri 2pm-5pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Erie",2026-09-08
Fenton's Produce Farm Stand,3646 West Main Street Road,Batavia,Genesee,14020,Gail Fenton,(585) 356-2357,Valid 10-digit number,,No website listed,,May 1-December 1,Daily 9am-6pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Genesee",2026-09-08
Genesee Country Friday Farmers' Market,School Street and Jackson Street,Batavia,Genesee,14020,Rebecca Grela,(716) 870-3828,Valid 10-digit number,,No website listed,,June 5-October 30,Fri 8am-4pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Genesee",2026-09-08
